4.0600 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
65.1690 	EXP 	window1: recordFrameIntervals = False
65.1704 	DATA 	Keypress: left
65.1829 	EXP 	grating: autoDraw = False
65.1829 	EXP 	fixation: autoDraw = False
65.1829 	EXP 	grating: autoDraw = False
65.1833 	EXP 	window1: recordFrameIntervals = False
66.1826 	EXP 	fixation: autoDraw = True
67.1827 	EXP 	fixation: autoDraw = False
67.1827 	EXP 	grating: autoDraw = True
67.1827 	EXP 	grating: tex = 'sin'
67.4521 	EXP 	window1: recordFrameIntervals = False
67.4536 	DATA 	Keypress: right
67.4662 	EXP 	fixation: autoDraw = False
67.4662 	EXP 	grating: autoDraw = False
67.4665 	EXP 	window1: recordFrameIntervals = False
68.4658 	EXP 	fixation: autoDraw = True
69.4660 	EXP 	fixation: autoDraw = False
69.4660 	EXP 	grating: autoDraw = True
69.4660 	EXP 	grating: tex = 'sin'
69.7525 	DATA 	Keypress: left
69.7660 	EXP 	grating: autoDraw = False
69.7683 	EXP 	window1: recordFrameIntervals = False
69.7827 	EXP 	fixation: autoDraw = False
69.7827 	EXP 	grating: autoDraw = False
69.7829 	EXP 	window1: recordFrameIntervals = False
70.7822 	EXP 	fixation: autoDraw = True
71.7825 	EXP 	fixation: autoDraw = False
71.7825 	EXP 	grating: autoDraw = True
71.7825 	EXP 	grating: tex = 'sin'
72.0827 	EXP 	grating: autoDraw = False
72.0861 	EXP 	window1: recordFrameIntervals = False
72.0876 	DATA 	Keypress: right
72.0991 	EXP 	fixation: autoDraw = False
72.0991 	EXP 	grating: autoDraw = False
72.0994 	EXP 	window1: recordFrameIntervals = False
73.0987 	EXP 	fixation: autoDraw = True
74.0990 	EXP 	fixation: autoDraw = False
74.0990 	EXP 	grating: autoDraw = True
74.0990 	EXP 	grating: tex = 'sin'
74.3989 	EXP 	grating: autoDraw = False
74.4683 	EXP 	window1: recordFrameIntervals = False
74.4697 	DATA 	Keypress: left
74.4824 	EXP 	fixation: autoDraw = False
74.4824 	EXP 	grating: autoDraw = False
74.4831 	EXP 	window1: recordFrameIntervals = False
75.4819 	EXP 	fixation: autoDraw = True
76.4822 	EXP 	fixation: autoDraw = False
76.4822 	EXP 	grating: autoDraw = True
76.4822 	EXP 	grating: tex = 'sin'
76.7684 	EXP 	window1: recordFrameIntervals = False
76.7700 	DATA 	Keypress: right
76.7821 	EXP 	grating: autoDraw = False
76.7821 	EXP 	fixation: autoDraw = False
76.7821 	EXP 	grating: autoDraw = False
76.7824 	EXP 	window1: recordFrameIntervals = False
77.7817 	EXP 	fixation: autoDraw = True
78.7820 	EXP 	fixation: autoDraw = False
78.7820 	EXP 	grating: autoDraw = True
78.7820 	EXP 	grating: tex = 'sin'
79.0822 	EXP 	grating: autoDraw = False
79.1180 	EXP 	window1: recordFrameIntervals = False
79.1195 	DATA 	Keypress: left
79.1320 	EXP 	fixation: autoDraw = False
79.1320 	EXP 	grating: autoDraw = False
79.1322 	EXP 	window1: recordFrameIntervals = False
80.1317 	EXP 	fixation: autoDraw = True
81.1319 	EXP 	fixation: autoDraw = False
81.1319 	EXP 	grating: autoDraw = True
81.1319 	EXP 	grating: tex = 'sin'
81.3843 	EXP 	window1: recordFrameIntervals = False
81.3858 	DATA 	Keypress: right
81.3985 	EXP 	fixation: autoDraw = False
81.3985 	EXP 	grating: autoDraw = False
81.3992 	EXP 	window1: recordFrameIntervals = False
82.3981 	EXP 	fixation: autoDraw = True
83.3984 	EXP 	fixation: autoDraw = False
83.3984 	EXP 	grating: autoDraw = True
83.3984 	EXP 	grating: tex = 'sin'
83.6675 	EXP 	window1: recordFrameIntervals = False
83.6690 	DATA 	Keypress: left
83.6817 	EXP 	fixation: autoDraw = False
83.6817 	EXP 	grating: autoDraw = False
83.6820 	EXP 	window1: recordFrameIntervals = False
84.6813 	EXP 	fixation: autoDraw = True
85.6817 	EXP 	fixation: autoDraw = False
85.6817 	EXP 	grating: autoDraw = True
85.6817 	EXP 	grating: tex = 'sin'
85.9815 	EXP 	grating: autoDraw = False
86.0505 	EXP 	window1: recordFrameIntervals = False
86.0520 	DATA 	Keypress: left
86.0656 	EXP 	fixation: autoDraw = False
86.0656 	EXP 	grating: autoDraw = False
86.0658 	EXP 	window1: recordFrameIntervals = False
87.0644 	EXP 	fixation: autoDraw = True
88.0648 	EXP 	fixation: autoDraw = False
88.0648 	EXP 	grating: autoDraw = True
88.0648 	EXP 	grating: tex = 'sin'
88.3510 	EXP 	window1: recordFrameIntervals = False
88.3525 	DATA 	Keypress: right
88.3645 	EXP 	grating: autoDraw = False
88.3645 	EXP 	fixation: autoDraw = False
88.3645 	EXP 	grating: autoDraw = False
88.3648 	EXP 	window1: recordFrameIntervals = False
89.3643 	EXP 	fixation: autoDraw = True
90.3645 	EXP 	fixation: autoDraw = False
90.3645 	EXP 	grating: autoDraw = True
90.3645 	EXP 	grating: tex = 'sin'
90.6644 	EXP 	grating: autoDraw = False
90.7007 	EXP 	window1: recordFrameIntervals = False
90.7022 	DATA 	Keypress: right
90.7145 	EXP 	fixation: autoDraw = False
90.7145 	EXP 	grating: autoDraw = False
90.7148 	EXP 	window1: recordFrameIntervals = False
91.7142 	EXP 	fixation: autoDraw = True
92.7143 	EXP 	fixation: autoDraw = False
92.7143 	EXP 	grating: autoDraw = True
92.7143 	EXP 	grating: tex = 'sin'
92.9687 	EXP 	window1: recordFrameIntervals = False
92.9703 	DATA 	Keypress: left
92.9812 	EXP 	fixation: autoDraw = False
92.9812 	EXP 	grating: autoDraw = False
92.9815 	EXP 	window1: recordFrameIntervals = False
93.9806 	EXP 	fixation: autoDraw = True
94.9809 	EXP 	fixation: autoDraw = False
94.9809 	EXP 	grating: autoDraw = True
94.9809 	EXP 	grating: tex = 'sin'
95.2500 	EXP 	window1: recordFrameIntervals = False
95.2515 	DATA 	Keypress: right
95.2642 	EXP 	fixation: autoDraw = False
95.2642 	EXP 	grating: autoDraw = False
95.2645 	EXP 	window1: recordFrameIntervals = False
96.2638 	EXP 	fixation: autoDraw = True
97.2640 	EXP 	fixation: autoDraw = False
97.2640 	EXP 	grating: autoDraw = True
97.2640 	EXP 	grating: tex = 'sin'
97.4999 	EXP 	window1: recordFrameIntervals = False
97.5014 	DATA 	Keypress: left
97.5139 	EXP 	fixation: autoDraw = False
97.5139 	EXP 	grating: autoDraw = False
97.5142 	EXP 	window1: recordFrameIntervals = False
98.5136 	EXP 	fixation: autoDraw = True
99.5137 	EXP 	fixation: autoDraw = False
99.5137 	EXP 	grating: autoDraw = True
99.5137 	EXP 	grating: tex = 'sin'
99.7834 	EXP 	window1: recordFrameIntervals = False
99.7848 	DATA 	Keypress: right
99.7971 	EXP 	fixation: autoDraw = False
99.7971 	EXP 	grating: autoDraw = False
99.7975 	EXP 	window1: recordFrameIntervals = False
100.7968 	EXP 	fixation: autoDraw = True
101.7973 	EXP 	fixation: autoDraw = False
101.7973 	EXP 	grating: autoDraw = True
101.7973 	EXP 	grating: tex = 'sin'
102.0970 	EXP 	grating: autoDraw = False
102.1828 	EXP 	window1: recordFrameIntervals = False
102.1843 	DATA 	Keypress: right
102.1971 	EXP 	fixation: autoDraw = False
102.1971 	EXP 	grating: autoDraw = False
102.1974 	EXP 	window1: recordFrameIntervals = False
103.1967 	EXP 	fixation: autoDraw = True
104.1969 	EXP 	fixation: autoDraw = False
104.1969 	EXP 	grating: autoDraw = True
104.1969 	EXP 	grating: tex = 'sin'
104.4969 	EXP 	grating: autoDraw = False
104.5494 	EXP 	window1: recordFrameIntervals = False
104.5509 	DATA 	Keypress: right
104.5635 	EXP 	fixation: autoDraw = False
104.5635 	EXP 	grating: autoDraw = False
104.5638 	EXP 	window1: recordFrameIntervals = False
105.5631 	EXP 	fixation: autoDraw = True
106.5633 	EXP 	fixation: autoDraw = False
106.5633 	EXP 	grating: autoDraw = True
106.5633 	EXP 	grating: tex = 'sin'
106.8632 	EXP 	grating: autoDraw = False
106.9155 	EXP 	window1: recordFrameIntervals = False
106.9169 	DATA 	Keypress: left
106.9300 	EXP 	fixation: autoDraw = False
106.9300 	EXP 	grating: autoDraw = False
106.9302 	EXP 	window1: recordFrameIntervals = False
107.9297 	EXP 	fixation: autoDraw = True
108.9298 	EXP 	fixation: autoDraw = False
108.9298 	EXP 	grating: autoDraw = True
108.9298 	EXP 	grating: tex = 'sin'
109.2298 	EXP 	grating: autoDraw = False
109.3491 	EXP 	window1: recordFrameIntervals = False
109.3506 	DATA 	Keypress: left
109.3633 	EXP 	fixation: autoDraw = False
109.3633 	EXP 	grating: autoDraw = False
109.3635 	EXP 	window1: recordFrameIntervals = False
110.3628 	EXP 	fixation: autoDraw = True
111.3630 	EXP 	fixation: autoDraw = False
111.3630 	EXP 	grating: autoDraw = True
111.3630 	EXP 	grating: tex = 'sin'
111.6629 	EXP 	grating: autoDraw = False
111.7490 	EXP 	window1: recordFrameIntervals = False
111.7505 	DATA 	Keypress: right
111.7635 	EXP 	fixation: autoDraw = False
111.7635 	EXP 	grating: autoDraw = False
111.7639 	EXP 	window1: recordFrameIntervals = False
112.7626 	EXP 	fixation: autoDraw = True
113.7628 	EXP 	fixation: autoDraw = False
113.7628 	EXP 	grating: autoDraw = True
113.7628 	EXP 	grating: tex = 'sin'
114.0657 	EXP 	grating: autoDraw = False
114.1487 	EXP 	window1: recordFrameIntervals = False
114.1502 	DATA 	Keypress: right
114.1628 	EXP 	fixation: autoDraw = False
114.1628 	EXP 	grating: autoDraw = False
114.1631 	EXP 	window1: recordFrameIntervals = False
115.1623 	EXP 	fixation: autoDraw = True
116.1626 	EXP 	fixation: autoDraw = False
116.1626 	EXP 	grating: autoDraw = True
116.1626 	EXP 	grating: tex = 'sin'
116.4627 	EXP 	grating: autoDraw = False
116.5153 	EXP 	window1: recordFrameIntervals = False
116.5167 	DATA 	Keypress: right
116.5294 	EXP 	fixation: autoDraw = False
116.5294 	EXP 	grating: autoDraw = False
116.5297 	EXP 	window1: recordFrameIntervals = False
117.5290 	EXP 	fixation: autoDraw = True
118.5292 	EXP 	fixation: autoDraw = False
118.5292 	EXP 	grating: autoDraw = True
118.5292 	EXP 	grating: tex = 'sin'
118.8153 	EXP 	window1: recordFrameIntervals = False
